gene_name,gene_id,genome
APBA3,ENSG00000011132,hg38
MKS1,ENSG00000011143,hg38
ABHD5,ENSG00000011198,hg38
ANOS1,ENSG00000011201,hg38
AKAP8L,ENSG00000011243,hg38
MBTD1,ENSG00000011258,hg38
UTP18,ENSG00000011260,hg38
RNF216,ENSG00000011275,hg38
TTC19,ENSG00000011295,hg38
PTBP1,ENSG00000011304,hg38
DPF1,ENSG00000011332,hg38
SYT7,ENSG00000011347,hg38
LARS2,ENSG00000011376,hg38
PIK3C2A,ENSG00000011405,hg38
PLAUR,ENSG00000011422,hg38
ANLN,ENSG00000011426,hg38
WIZ,ENSG00000011451,hg38
RABGAP1,ENSG00000011454,hg38
DCN,ENSG00000011465,hg38
QPCTL,ENSG00000011478,hg38
PPP5C,ENSG00000011485,hg38
CEP68,ENSG00000011523,hg38
MAP4K3,ENSG00000011566,hg38
ZBTB32,ENSG00000011590,hg38
TYROBP,ENSG00000011600,hg38
LDAF1,ENSG00000011638,hg38
GABRA3,ENSG00000011677,hg38
BRCA1,ENSG00000012048,hg38
ERCC1,ENSG00000012061,hg38
CD22,ENSG00000012124,hg38
SEMA3B,ENSG00000012171,hg38
MBTPS2,ENSG00000012174,hg38
PRICKLE3,ENSG00000012211,hg38
LTF,ENSG00000012223,hg38
EXTL3,ENSG00000012232,hg38
NR1H4,ENSG00000012504,hg38
ELOVL5,ENSG00000012660,hg38
ALOX5,ENSG00000012779,hg38
KDM5D,ENSG00000012817,hg38
CALCOCO1,ENSG00000012822,hg38
UBR7,ENSG00000012963,hg38
MAP4K5,ENSG00000012983,hg38
EHD3,ENSG00000013016,hg38
PSMC4,ENSG00000013275,hg38
MAN2B2,ENSG00000013288,hg38
SLC7A14,ENSG00000013293,hg38
CLDN11,ENSG00000013297,hg38
SLC25A39,ENSG00000013306,hg38
MVP,ENSG00000013364,hg38
NUB1,ENSG00000013374,hg38
PGM3,ENSG00000013375,hg38
RWDD2A,ENSG00000013392,hg38
CLK1,ENSG00000013441,hg38
POLR3B,ENSG00000013503,hg38
ANGEL1,ENSG00000013523,hg38
RNF14,ENSG00000013561,hg38
DNASE1L1,ENSG00000013563,hg38
DDX11,ENSG00000013573,hg38
HEBP1,ENSG00000013583,hg38
GPRC5A,ENSG00000013588,hg38
MAMLD1,ENSG00000013619,hg38
CD6,ENSG00000013725,hg38
TACC3,ENSG00000013810,hg38
UFL1,ENSG00000014123,hg38
POLA2,ENSG00000014138,hg38
ZC3H3,ENSG00000014164,hg38
CAPN1,ENSG00000014216,hg38
ACP3,ENSG00000014257,hg38
MDH1,ENSG00000014641,hg38
SLC30A9,ENSG00000014824,hg38
MTMR11,ENSG00000014914,hg38
COX15,ENSG00000014919,hg38
CCDC88C,ENSG00000015133,hg38
YAF2,ENSG00000015153,hg38
ZMYND11,ENSG00000015171,hg38
WAS,ENSG00000015285,hg38
DPEP1,ENSG00000015413,hg38
BID,ENSG00000015475,hg38
MATR3,ENSG00000015479,hg38
NPC1L1,ENSG00000015520,hg38
XYLT2,ENSG00000015532,hg38
RGPD5,ENSG00000015568,hg38
STMN4,ENSG00000015592,hg38
NUDCD3,ENSG00000015676,hg38
ISL1,ENSG00000016082,hg38
CHDH,ENSG00000016391,hg38
IL20RA,ENSG00000016402,hg38
CLCA1,ENSG00000016490,hg38
CLCA4,ENSG00000016602,hg38
GLT8D1,ENSG00000016864,hg38
ATP2C1,ENSG00000017260,hg38
IGF1,ENSG00000017427,hg38
SLC38A5,ENSG00000017483,hg38
RALBP1,ENSG00000017797,hg38
